Year,Mo,Dy,Tsunami,Volcano,Name,Latitude,Longitude,Depth,Magnitude,Deaths/Num,Deaths/Scale,Missing/Num,Missing/Scale,Injuries/Num,Injuries/Scale,Damage/$Mill,Damage/ Scale,Houses Destroyed/ Num,Houses Destroyed/ Scale,Houses Damaged/ Num,Houses Damaged/ Scale
10,,,,,TURKMENISTAN: NISA,38,58.3,,,,,,,18,7.1,10,,,,,
427,,,,,AZERBAIJAN,40.5,46.5,12,6.7,,,,,,,,3,,,,
500,,,,,KAZAKHSTAN,42.7,76.5,20,6.7,,,,,,,,3,,,,
735,6,21,,,ARMENIA: BAYOTSDZOR,39.7,45.5,16,5.8,,,,,,,,2,,,,
743,,,,,RUSSIA: CASPIAN SEA,42.1,48.2,20,5.5,,,,,,,,1,,,,
818,5,15,,,AFGHANISTAN; INDIA: HINDU-KUSH; KAZAHKSTAN: BALKHA,36.8,66.2,50,7.5,,3,,,,,,3,,,,
851,,,,,ARMENIA: DVIN,40,44.6,10,5.2,12000,4,,,,,,,,,,
856,1,,,,ARMENIA: DVIN,40,44.6,10,4.5,,,,,,,,3,,3,,
891,,,,,IRAN: ARDABIL,38.3,48.3,20,6.3,,,,,,,,3,,,,
942,6,,,,UZBEKISTAN: BUKHARA,39.7,64.5,20,6.7,,,,,,,,3,,,,
953,8,20,,,TURKMENISTAN: NISA,38,58.3,18,7.1,,,,,,,,3,,,,
1003,,,,,"TURKEY: KARS, DIGOR, ANI (ARMENIA)",40.5,43.3,20,4.2,,3,,,,,,2,,,,
1042,11,4,,,IRAN: TABRIZ,38.1,46.3,15,7.6,50000,4,,,,,,4,,,,
1046,,,,,TURKEY: ANI (ARMENIA),40.5,43.5,15,5.5,,3,,,,,,3,,,,
1101,,,,,IRAN: KHORASAN,36,59,10,6.5,60000,4,,,,,,,,,,
1102,2,28,,,AFGHANISTAN: GERAT,35,62.1,15,6.1,,,,,,,,2,,
1175,,,,,TURKMENISTAN,37.5,65.5,15,7.1,,,,,,,,,,
1208,,,,,TURKMENISTAN: GURGANDZHE,42,60,10,6.1,2000,4,,,,,,3,,
1209,,,,,IRAN: NISHAPUR,36,58.8,10,7.6,,,,,,,,3,,
1267,,,,,IRAN: NEYSHABUR (NEISHABUR),36,58.8,10,5.8,,,,,,,,3,,
1281,,,,,IRAN: SHADIYAKH,36.1,58.8,10,5.8,,,,,,,,3,,
1283,,,,,"GEORGIA: SAMTSKHE, DZHAVAKHET",41.7,43.2,14,6.3,,,,,,,,3,,
1350,,,,,"GEORGIA: CHEGEM GORGE, CHREBALO",43,43,20,6.5,,,,,,,,3,,
1389,1,20,,,IRAN: NEYSHABUR,36.2,58.5,10,5.8,,3,,,,,,3,,
1390,5,,,,UZBEKISTAN: BUKHARA,39.8,64.4,20,6.1,,1,,,,,,2,,
1405,1,29,,,IRAN: NEYSHABUR (NISHAPUR),36,58.8,15,6.7,,3,,,,,,4,,
1471,,,,,PERU,-16.3,-71,25,8,,,,,,,,,,
1475,,,,,KYRGYZSTAN: BOLOSAGUN,42.6,75.2,5,6.4,,,,,,,,2,,
1490,2,20,,,UZBEKISTAN: SAMARKAND,39.4,67.1,15,5.8,,,,,,,,3,,
1511,3,26,Tsu,,"BALKANS NW: SLOVENIA: IDRIJA,SKOFJA LOKA",46.2,13.433,7,6.5,15,1,,,,,,3,,3
1513,,,Tsu,,PERU,-17.2,-72.3,30,8.7,,,,,,,,,,
1530,9,1,Tsu,,VENEZUELA: CUMANA,10.5,-64.2,10,8,,,,,,,,,,,,
1552,7,2,,,PERU,-16.6,-71.3,30,7.6,,,,,,,,,,,,
1555,11,15,,,PERU,-11.9,-77.6,30,8.4,,,,,,,,,,,,
1581,,,,,PERU: YANAOCA,-14.1,-71.5,15,6.4,,3,,,,,,1,,,,
1582,1,22,Tsu,,"PERU: SOCABAYA,AREQUIPA",-16.6,-71.6,30,8.2,,3,,,,3,,3,,4,,
1582,8,15,,,PERU,-12.2,-77.6,30,7.8,,,,,,,,,,,,
1584,3,17,Tsu,,PERU,-11.8,-77.8,30,8.4,,,,,,,,1,,,,1
1586,7,10,Tsu,,PERU: LIMA,-12.3,-77.7,60,8.5,22,1,,,,,,3,,3,,
1590,,,Tsu,,"PERU: CUSCO, CAMANA",-17.2,-72.9,40,7.7,,1,,,,,,1,,1,,
1600,2,28,,,PERU: OMATE,-16.6,-70.8,20,8.1,,,,,,,,1,,,,
1604,11,24,Tsu,,PERU: AREQUIPA; CHILE: ARICA,-17.88,-70.94,30,8.5,100,2,,,,,,3,,3,,
1609,10,20,,,PERU,-11.9,-77.4,40,8.6,,,,,,,,,,,,
1619,2,14,,,"PERU: TRUJILLO, PIURA, SANTA",-7.941,-79.038,40,8.6,350,3,,,,,,3,,,,
1620,,,,,UZBEKISTAN: AKHSY,40.9,71.4,6,5.8,,3,,,,,,3,,,,
1628,6,17,,,"BALKANS NW: SLOVENIA: KRISKO,BRESTANICA",46,15.5,6,5,,,,,,,,2,,,,
1629,3,9,Tsu,,GREECE: ISLANDS OF CYTHERA AND CRETE,36,25,70,7,,3,,,,,,3,,3,,
