Tsunami,Name,Latitude,Longitude,Depth,Magnitude,Date,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
1,"PERU: LIMA,SALINAS-HUAURA,LIMA,CALLAO,CHANCAY",-9.0,-79.0,40.0,8.4,1678-06-18,1000.0,0.0,0.0,12500000.0,1000.0,0.0
1,PERU: LIMA,-13.5,-76.5,30.0,8.5,1687-10-20,10000.0,0.0,0.0,12500000.0,0.0,0.0
0.0,RUSSIA: TERSK,43.7,44.7,15.0,5.3,1688-01-01,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,ECUADOR: TIXAN,-2.2,-78.9,5.0,6.8,1689-03-01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BALKANS NW: SLOVENIA: LJUBLJANA,45.6,15.3,6.0,5.0,1699-02-11,100.0,0.0,0.0,12500000.0,0.0,0.0
0.0,PERU: LIMA,-12.1,-76.6,40.0,7.8,1699-07-14,0.0,0.0,0.0,12500000.0,0.0,0.0
0.0,PERU: CUZCO,-13.0,-72.0,10.0,5.8,1707-09-17,1160.0,0.0,0.0,0.0,0.0,0.0
1,"PERU: MOQUEGUA, AREQUIPA; CHILE: ARICA",-17.3,-70.8,80.0,7.5,1715-08-23,50.0,0.0,0.0,500000.0,50.0,0.0
0.0,PERU: PUEBLO DE TORATA IN TACNA,-17.2,-71.2,40.0,8.8,1716-02-06,1000.0,0.0,0.0,500000.0,0.0,0.0
0.0,PERU,-13.7,-76.0,50.0,8.6,1716-02-11,0.0,0.0,0.0,0.0,0.0,0.0
0.0,"CHINA: S XINJIANG: AKSU, BALKHASH",41.2,80.3,30.0,7.5,1716-01-01,0.0,0.0,0.0,12500000.0,0.0,0.0
0.0,"PERU: TRUJILLO, ANCASH, LIMA",-9.0,-79.0,60.0,7.7,1725-01-07,6500.0,0.0,0.0,12500000.0,1000.0,0.0
0.0,PERU: AREQUIPA,-16.4,-70.8,3.0,7.6,1725-01-08,0.0,0.0,0.0,500000.0,0.0,50.0
0.0,RUSSIA: E OF LAKE BAYKAL,56.5,118.5,50.0,8.2,1725-02-01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,RUSSIA: OFF KAMCHATKA,55.5,163.0,20.0,7.8,1737-11-04,0.0,0.0,0.0,0.0,0.0,0.0
1,RUSSIA: KURIL ISLANDS,50.0,157.0,50.0,7.5,1737-12-17,0.0,0.0,0.0,0.0,0.0,0.0
0.0,RUSSIA: LAKE BAYKAL,53.3,104.0,40.0,7.7,1742-06-27,0.0,0.0,0.0,0.0,0.0,0.0
1,"PERU: LIMA, CALLAO",-11.995999999999999,-77.19800000000001,30.0,8.0,1746-10-29,6141.0,0.0,0.0,27500000.0,7975.0,0.0
0.0,RUSSIA; MONGOLIA,50.0,90.0,30.0,7.7,1761-12-09,0.0,0.0,0.0,0.0,0.0,0.0
0.0,RUSSIA: LAKE BAYKAL,51.8,105.5,40.0,7.3,1769-10-24,0.0,0.0,0.0,0.0,0.0,0.0
0.0,IRAN: TABRIZ,38.0,46.2,20.0,7.7,1780-01-08,55000.0,0.0,0.0,27500000.0,5000.0,0.0
1,ITALY: TYRRHENIAN CALABRIA,38.3,15.967,13.0,6.9,1783-02-05,35000.0,0.0,0.0,27500000.0,5000.0,0.0
