Tsunami,Latitude,Longitude,Depth,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
0.0,78.77,-41.18000000000001,6.0,0.0,0.0,0.0,3000000.0,0.0,0.0
0.0,83.363,84.567,49.0,0.0,0.0,0.0,3500000.0,0.0,0.0
0.0,75.859,-73.187,12.0,0.0,0.0,0.0,3000000.0,0.0,0.0
0.0,200.77000000000004,158.66699999999997,24.0,0.0,0.0,59.0,8000000.0,0.0,100.0
0.0,128.36399999999998,294.775,118.0,53.0,0.0,71.0,33500035.0,50.0,569.0
0.0,423.2200000000001,-85.68500000000002,172.0,54.0,0.0,1305.0,24500000.0,2664.0,1298.0
1.0,409.55799999999994,-47.60999999999996,223.0,202.0,0.0,2423.0,62000068.5,7090.0,2796.0
0.0,299.40299999999996,-80.93599999999998,169.0,254.0,0.0,276.0,13000000.5,1000.0,150.0
1.0,382.32,47.596,143.0,121.0,0.0,261.0,48500052.354,0.0,3.0
0.0,321.38800000000003,225.2249999999999,137.0,1505.0,0.0,6535.0,56000410.9,48959.0,0.0
0.0,504.62500000000006,711.3990000000001,285.0,439.0,0.0,734.0,127500125.0,2741.0,490.0
0.0,386.24799999999993,-219.3150000000001,314.0,644.0,0.0,3556.0,90500055.3,3359.0,2128.0
2.0,584.8280000000001,282.64000000000004,412.0,206.0,0.0,1466.0,71500100.0,1169.0,632.0
3.0,609.4309999999998,518.8219999999999,404.0,1749.0,0.0,12334.0,146000705.8,46621.0,2288.0
0.0,417.036,864.884,375.0,6771.0,0.0,9824.0,118001031.0,121171.0,531.0
2.0,729.632,790.967,568.0,739.0,0.0,2804.0,90000025.30000001,5781.0,13371.0
2.0,894.069,411.35299999999984,790.0,7588.0,0.0,1928.0,145000114.329,2400.0,2774.0
1.0,772.748,275.159,381.0,2143.0,0.0,21884.0,168500669.0,84064.0,1810.0
0.0,787.907,438.4799999999999,515.0,15418.0,0.0,9586.0,133000186.7,135091.0,8550.0
3.0,681.2780000000002,188.38400000000001,589.0,21759.0,0.0,33045.0,162000357.62600002,4495.0,28175.0
5.0,1525.9520000000002,281.9,1352.0,22750.0,0.0,34879.0,436011965.4,183432.0,1335.0
4.0,1103.405,1226.8010000000004,1425.0,14905.0,0.0,11101.0,335001024.0,41546.0,2403.0
6.0,1067.59,335.2060000000001,1218.0,35386.0,1265.0,71999.0,337005493.575,51799.0,32640.0
6.0,720.791,972.7339999999998,1204.0,22744.0,0.0,7488.0,185000591.0,78976.0,450.0
5.0,650.8149999999999,469.666,1003.0,25180.0,0.0,14242.0,304501646.8,218427.0,87800.0
13.0,638.1679999999998,1717.0860000000002,1053.0,16547.0,0.0,51456.0,316505373.377,28742.0,33521.0
6.0,537.9290000000001,1501.4750000000001,1134.0,53083.0,54.0,71620.0,358002309.90000004,1067053.0,1002203.0
15.0,911.352,410.581,1062.0,17529.0,0.0,36986.0,282041176.35,68299.0,13517.0
10.0,619.5150000000001,1581.376,1266.0,54780.0,0.0,28747.0,362523763.91999996,191892.0,53846.0
16.0,580.1240000000001,291.39599999999996,1378.0,95169.0,0.0,92934.0,392630268.2,271702.0,82130.0
22.0,475.91900000000004,1624.006,1555.0,96123.0,0.0,24360.0,343028552.025,129307.0,7726.0
17.0,426.339,1890.857,1169.0,11366.0,58.0,13515.0,193500483.3,19441.0,1635.0
14.0,663.9090000000001,1261.243,1254.0,27582.0,0.0,27730.0,179501177.55,47319.0,9867.0
13.0,839.852,1368.446,1507.0,213945.0,0.0,162651.0,303007633.7440001,460159.0,966.0
8.0,412.085,1009.8700000000001,637.0,41745.0,0.0,7607.0,197000135.6,33229.0,8283.0
25.0,1271.386,2991.701,2681.0,392896.0,6309.0,910573.0,455009297.65000004,87754.0,161879.0
17.0,631.271,1712.1669999999997,3423.0,163790.0,0.0,221045.0,299028153.625,85942.0,73399.0
22.0,578.258,942.9090000000001,1665.0,265479.0,52.0,258797.0,523025781.0,585285.0,608874.0
21.0,663.108,1141.232,2099.0,64691.0,1425.0,46577.0,306014326.8,322827.0,298975.0
20.0,532.8580000000001,682.22,1977.0,170220.0,0.0,442608.0,239587019.5,5404552.0,5360297.0
10.0,160.33100000000002,306.57300000000015,1140.0,61331.0,0.0,22423.0,240001660.66,86244.0,23744.0
9.0,196.428,929.013,715.0,19632.0,0.0,59731.0,140504045.0,9117.0,2904.0
12.0,286.42900000000003,-24.471000000000032,517.0,11919.0,0.0,9968.0,111500200.0,4789.0,2604.0
15.0,204.201,1053.495,640.0,251949.0,51.0,2446.0,186001550.1,23405.0,10201.0
5.0,91.735,101.359,168.0,2177.0,168.0,7713.0,55000000.0,28399.0,0.0
4.0,11.670000000000002,99.798,138.0,41000.0,0.0,0.0,43000000.0,0.0,0.0
4.0,75.292,-101.832,156.0,8530.0,0.0,0.0,15500020.0,1000.0,50.0
3.0,28.737,229.79500000000002,104.0,1500.0,0.0,0.0,25500000.0,2000.0,0.0
1.0,-53.322,-144.098,63.0,2402.0,0.0,17000.0,28030000.0,0.0,500004.0
1.0,52.755,160.05700000000004,22.0,50.0,0.0,0.0,0.0,0.0,0.0
1.0,61.017,-147.648,33.0,65.0,0.0,0.0,27500284.0,1000.0,0.0
1.0,-38.143,-73.407,33.0,7000.0,0.0,8000.0,27501000.0,63622.0,0.0
